,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,27ZZdyTSQWI7Cug2d2PkqV,BILLIE EILISH.,BILLIE EILISH.,Armani White,2022-05-19,99282,79,0.9,0.115,0.509,1.67e-06,0.0937,-6.647,0.257,100.007,4
1,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,90,0.351,0.934,0.296,0.0,0.095,-10.109,0.0333,115.284,4
2,2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,84,0.701,0.328,0.425,0.13,0.1,-10.965,0.375,135.128,4
3,2tDOCMuKSX9IEo9TJ4pBBk,BILLIE EILISH.,Road to CASABLANCO.,Armani White,2023-05-05,99280,66,0.902,0.13,0.514,9.22e-06,0.0873,-6.372,0.281,100.101,4
4,3GYlZ7tbxLOxe6ewMNVTkw,TV,Guitar Songs,Billie Eilish,2022-07-21,281380,87,0.412,0.83,0.236,0.00653,0.147,-15.159,0.0379,140.214,4
5,576OekDyFzrBOBpnEGiage,BILLIE EILISH.,BILLIE EILISH.,Armani White,2022-05-19,99282,51,0.907,0.132,0.477,1.05e-06,0.0918,-6.772,0.27,100.107,4
6,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,87,0.332,0.767,0.225,0.00349,0.128,-8.697,0.0348,81.055,3
7,51NFxnQvaosfDDutk0tams,bellyache,Bellyache,Billie Eilish,2017-02-24,179172,80,0.695,0.46,0.573,0.0734,0.482,-8.597,0.106,99.939,4
8,43zdsphuZLzwA9k4DJhU0I,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,196077,85,0.367,0.978,0.111,3.97e-05,0.0897,-14.084,0.0972,82.642,4
9,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,86,0.704,0.902,0.225,0.657,0.106,-14.454,0.0994,120.006,4
10,7hDVYcQq6MxkdJGweuCtl9,ocean eyes,dont smile at me,Billie Eilish,2017-12-22,200379,83,0.511,0.816,0.363,0.0317,0.084,-7.65,0.041,144.892,4
11,0WFryfbNKPXVtVQlz5dZ8H,hotline (edit),hotline (edit),Billie Eilish,2023-05-09,60719,84,0.516,0.816,0.254,0.855,0.189,-16.027,0.0589,56.829,4
12,20R4HfKloPKgXDqU7UKk3x,Therefore I Am,Happier Than Ever,Billie Eilish,2021-07-30,173539,73,0.879,0.227,0.365,0.135,0.0583,-7.781,0.0924,94.016,4
13,14oo4En4UXdIuT2pZB5rtp,billie eilish (feat. Ciscaux),billie eilish (feat. Ciscaux),lilbubblegum,2021-04-09,148800,57,0.562,0.181,0.598,0.0,0.376,-8.062,0.327,133.204,5
14,04sN26COy28wTXYj3dMoiZ,Bored,Bored,Billie Eilish,2017-03-30,180933,84,0.614,0.896,0.318,0.00239,0.0795,-12.695,0.0478,119.959,4
15,5w7wuzMzsDer96KqxafeRK,COPYCAT,dont smile at me,Billie Eilish,2017-12-22,194711,74,0.679,0.353,0.388,9.25e-05,0.341,-10.977,0.0932,124.909,4
16,1WsEgieHsWWndAzLkmV105,hostage,dont smile at me,Billie Eilish,2017-12-22,229425,77,0.427,0.868,0.123,3.12e-05,0.0732,-15.228,0.0497,129.565,5
17,41zXlQxzTi6cGAjpOXyLYH,idontwannabeyouanymore,dont smile at me,Billie Eilish,2017-12-22,203569,82,0.483,0.737,0.412,0.0,0.116,-8.461,0.0402,170.163,3
18,5XsAal7ZcWg1I5T4NcRjkv,Halley's Comet,Happier Than Ever,Billie Eilish,2021-07-30,234761,78,0.403,0.961,0.159,0.0121,0.34,-16.728,0.104,72.38,4
